source,reputation,articles,size
TimesDaily,0.0,"[69, 181, 299, 624, 737, 1037]",7
witscience.org,-1,[],100
nbc,-0.1,[],100
bigamericannews.com,-1,[],100
npiamerica.org,-1,[],100
johnnyrobish.com,-1,[],100
undergroundworldnews.com,-1,[],100
thefederalistpapers.org,-1,[],100
conservativedailypost.com,-1,[],100
freedomworks.org,-1,[],100
huzlers.com,-1,[],100
dailyleak.org,-1,[],100
SJLendman.Blogspot.com,-1,[],100
NoMoreFakeNews.com,-1,[],100
cryptogon.com,-1,[],100
usviewer.com,-1,[],100
X22Report.com,-1,[],100
objectiveministries.org,-1,[],100
politicot.com,-1,[],100
politicalcult.com,-1,[],100
now8news.com,-1,[],100
responsibletechnology.org,-1,[],100
endingthefed.com,-1,[],100
awdnews.com,-1,[],100
Central Maine,0.0,"[120, 237, 467]",4
americanpatriotdaily.com,-1,[],100
ifyouonlynews.com,-1,[],100
thecommonsenseshow.com,-1,[],100
cowgernation.com,-1,[],100
bluenationreview.com,-1,[],100
KMT11.com,-1,[],100
ecowatch.com,-1,[],100
anotherdayintheempire.com,-1,[],100
yahoo.com,0.0,[395],2
conspiracywire.com,-1,[],100
conservativehq.com,-1,[],100
newswire-24.com,-1,[],100
fridaymash.com,-1,[],100
collective-evolution.com,-1,[],100
theshovel.com.au,-1,[],100
usatwentyfour.com,-1,[],100
wnd.com,-1,[],100
USAWatchdog.com,-1,[],100
der-postillon.com,-1,[],100
Idaho Statesman,0.0,"[169, 288]",3
twitchy.com,-1,[],100
dailyoccupation.com,-1,[],100
worldtruth.tv,-1,[],100
celebtricity.com,-1,[],100
usainfobox.com,-1,[],100
the blaze,-0.45,[],100
ihavethetruth.com,-1,[],100
unconfirmedsources.com,-1,[],100
nowtheendbegins.com,-1,[],100
the colbert report,0.3,[],100
washingtonsblog.com,-1,[],100
teaparty.org,-1,[],100
oann.com,-1,[],100
DeadLineLive.info,-1,[],100
thenewamerican.com,-1,[],100
dailyheadlines.net,-1,[],100
cato.org/blog,-1,[],100
globalresearch.ca,-1,[],100
The Seattle Times,0.0,"[5, 104, 222, 397, 399, 540, 673, 973]",9
veteransnewsnow.com,-1,[],100
conservativetribune.com,-1,[],100
sensationalisttimes.com,-1,[],100
metropolitanworlds.com,-1,[],100
24wpn.com,-1,[],100
politicops.com,-1,[],100
chicksontheright.com,-1,[],100
skeptiko.com,-1,[],100
pbs,0.8,[],100
thepoke.co.uk,-1,[],100
usa2016elections.com,-1,[],100
dennismichaellynch.com,-1,[],100
electionnightgatekeepers.com,-1,[],100
consciouslifenews.com,-1,[],100
endtime.com,-1,[],100
Belleville News-Democrat,0.0,"[187, 306]",3
The News Tribune,0.0,"[73, 186, 305, 640, 743, 1042]",7
Dothan Eagle,0.0,"[85, 86, 201, 203, 323, 324, 652, 654, 655, 755, 757, 1054, 1055]",14
amtvmedia.com,-1,[],100
FarmWars.info,-1,[],100
realfarmacy.com,-1,[],100
16wmpo.com,-1,[],100
WXIA,0.0,[481],2
